recipe_id,ingredient_id,ingredient_name,quantity
8408b6dc-c934-301c-b868-ab10632c10b3,a6143503-aec7-3a60-a1e3-b01403c90ae8,Manzo,(taglio per roast-beef) 650 g
8408b6dc-c934-301c-b868-ab10632c10b3,acedbe26-7141-3346-b100-83146110d004,Sale grosso,grosso 2 kg
8408b6dc-c934-301c-b868-ab10632c10b3,b3513445-f42a-3a53-82dc-2dc6782a6235,Rosmarino,5 g
8408b6dc-c934-301c-b868-ab10632c10b3,782cad54-a35c-3eee-95f1-f892852c6d05,Alloro,5 g
8408b6dc-c934-301c-b868-ab10632c10b3,cb95dccc-c65e-3aa1-a67a-141bce767bff,Timo,5 g
8408b6dc-c934-301c-b868-ab10632c10b3,8bb9fb3e-c490-3ce9-baf4-94e986e1157f,Acqua,30 g
06a0f661-078a-30b1-a494-1dd8f60ee27f,e30b94d7-2677-3267-a3fb-b06b48ceaa64,Zucchero,160 g
06a0f661-078a-30b1-a494-1dd8f60ee27f,3cda6d98-dad4-3969-834b-002e5041f82f,Farina 00,360 g
06a0f661-078a-30b1-a494-1dd8f60ee27f,b3dc3655-5eb3-3ef1-aad9-7cbd1d240c6f,Lievito in polvere per dolci,8 g
06a0f661-078a-30b1-a494-1dd8f60ee27f,75f59929-ea73-3c12-9c6b-0b58747dee21,Sale fino,1 pizzico
06a0f661-078a-30b1-a494-1dd8f60ee27f,c0421b69-b5bf-370d-a453-b2a3c249e2f8,Banane,(la polpa) 300 g
06a0f661-078a-30b1-a494-1dd8f60ee27f,2e1d7fc8-9ff1-3691-b5f8-7325d9144b0c,Uova,a temperatura ambiente 60 g
06a0f661-078a-30b1-a494-1dd8f60ee27f,9d86273c-49c7-3045-862e-e05cd7305c60,Burro,125 g
06a0f661-078a-30b1-a494-1dd8f60ee27f,b1030499-78cd-344a-8c79-cbf5369ff8d5,Latte intero,a temperatura ambiente 100 g
06a0f661-078a-30b1-a494-1dd8f60ee27f,d52c6f26-8a8f-3361-a0a8-6f1451954ddb,Cioccolato fondente,120 g
03aa8736-e59a-3675-bde0-62d3a66887e6,6f129f19-8734-31d6-b6e0-048e16d9b89d,Biscotti secchi,180 g
03aa8736-e59a-3675-bde0-62d3a66887e6,9d86273c-49c7-3045-862e-e05cd7305c60,Burro,100 g
03aa8736-e59a-3675-bde0-62d3a66887e6,889c14c2-bd33-3eb9-83fe-855a8e65528b,Formaggio fresco spalmabile,500 g
03aa8736-e59a-3675-bde0-62d3a66887e6,e30b94d7-2677-3267-a3fb-b06b48ceaa64,Zucchero,120 g
03aa8736-e59a-3675-bde0-62d3a66887e6,d1e0a2d1-19a9-3c4c-80a9-7d7068e7be56,Panna fresca liquida,(più 2 cucchiai) 100 ml
03aa8736-e59a-3675-bde0-62d3a66887e6,8dc79b8c-95d9-300e-a2e3-4f8cfef8ac85,Gelatina in fogli,8 g
03aa8736-e59a-3675-bde0-62d3a66887e6,ee53d22e-f135-313a-b204-cff73d4199a4,Estratto di vaniglia,1 cucchiaino
03aa8736-e59a-3675-bde0-62d3a66887e6,d52c6f26-8a8f-3361-a0a8-6f1451954ddb,Cioccolato fondente,150 g
03aa8736-e59a-3675-bde0-62d3a66887e6,889c14c2-bd33-3eb9-83fe-855a8e65528b,Formaggio fresco spalmabile,150 g
03aa8736-e59a-3675-bde0-62d3a66887e6,7e7eec09-72ab-35ae-8eb3-2748a37c1355,Zucchero a velo,50 g
03aa8736-e59a-3675-bde0-62d3a66887e6,3b1cbbdc-0622-3c96-82db-4f3d55001b64,Tuorli,1
03aa8736-e59a-3675-bde0-62d3a66887e6,8dc79b8c-95d9-300e-a2e3-4f8cfef8ac85,Gelatina in fogli,5 g
03aa8736-e59a-3675-bde0-62d3a66887e6,d1e0a2d1-19a9-3c4c-80a9-7d7068e7be56,Panna fresca liquida,2 cucchiai
89812338-96d5-3ed2-a571-c9464c38e7eb,391639d5-cc99-397b-9ee4-4f3d59e5ec84,Patate novelle,1 kg
89812338-96d5-3ed2-a571-c9464c38e7eb,a41f611a-9ae8-3ec7-9816-054a6e1bc3e2,Aglio,2 spicchi
89812338-96d5-3ed2-a571-c9464c38e7eb,75f59929-ea73-3c12-9c6b-0b58747dee21,Sale fino,q.b.
89812338-96d5-3ed2-a571-c9464c38e7eb,b3513445-f42a-3a53-82dc-2dc6782a6235,Rosmarino,4 rametti
89812338-96d5-3ed2-a571-c9464c38e7eb,13d4dcd6-ccff-3016-a8b7-fa7701f20815,Olio extravergine d'oliva,50 ml
89812338-96d5-3ed2-a571-c9464c38e7eb,39bf8879-de05-394f-af6a-c761be7c9bf7,Pepe nero,q.b.
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,205456bd-86c9-3cb5-89d1-6daecdc66372,Sedano,100 g
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,e7a0b01c-8039-3e0b-8d89-3e8aae5e024b,Carote,100 g
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,d576e2cd-b5cc-379a-aa85-9ee450f59c47,Cipolle rosse,100 g
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,eb05b21a-41de-30d6-a79d-288f4a479c5a,Pisellini,150 g
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,bb1e77b7-a18b-3771-9ec6-45500efc5bf0,Cipollotto fresco,150 g
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,250bd280-9030-3150-be1f-f3a493c0c3e2,Zucchine,300 g
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,3397fef0-8e00-3b30-a3b2-13fb4d0d418a,Patate,200 g
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,c7f0970b-a664-38a6-a22e-e6980162a655,Spinaci,200 g
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,39d3140c-ed2f-3f77-9ef4-5e87503b5587,Grana Padano DOP,40 g
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,75f59929-ea73-3c12-9c6b-0b58747dee21,Sale fino,q.b.
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,39bf8879-de05-394f-af6a-c761be7c9bf7,Pepe nero,q.b.
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,13d4dcd6-ccff-3016-a8b7-fa7701f20815,Olio extravergine d'oliva,50 g
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,8bb9fb3e-c490-3ce9-baf4-94e986e1157f,Acqua,a temperatura ambiente 600 g
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,b5a1a1b3-e931-3cdb-9a82-00a76513f8a5,Pane casereccio,200 g
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,13d4dcd6-ccff-3016-a8b7-fa7701f20815,Olio extravergine d'oliva,20 g
328a3027-7767-3fa2-b88b-8142b856cbe5,3cda6d98-dad4-3969-834b-002e5041f82f,Farina 00,400 g
328a3027-7767-3fa2-b88b-8142b856cbe5,f9797123-12ba-3b73-bc0d-8c37a8198b2b,Pangrattato,150 g
328a3027-7767-3fa2-b88b-8142b856cbe5,8bb9fb3e-c490-3ce9-baf4-94e986e1157f,Acqua,tiepida 400 g
328a3027-7767-3fa2-b88b-8142b856cbe5,75f59929-ea73-3c12-9c6b-0b58747dee21,Sale fino,5 g
328a3027-7767-3fa2-b88b-8142b856cbe5,b9a33741-260e-3301-9fd9-3a5ba577708b,Cipolle dorate,60 g
328a3027-7767-3fa2-b88b-8142b856cbe5,9d86273c-49c7-3045-862e-e05cd7305c60,Burro,30 g
328a3027-7767-3fa2-b88b-8142b856cbe5,1c390565-8497-3260-b144-199f57b274fc,Lardo,80 g
328a3027-7767-3fa2-b88b-8142b856cbe5,bea0c1b7-8d7a-3630-8e74-aa78ed00e191,Fagioli borlotti secchi,220 g
328a3027-7767-3fa2-b88b-8142b856cbe5,b1581cdd-0c4c-30c4-90f9-ad2a34b02dfb,Passata di pomodoro,200 g
328a3027-7767-3fa2-b88b-8142b856cbe5,75f59929-ea73-3c12-9c6b-0b58747dee21,Sale fino,q.b.
328a3027-7767-3fa2-b88b-8142b856cbe5,13d4dcd6-ccff-3016-a8b7-fa7701f20815,Olio extravergine d'oliva,20 g
328a3027-7767-3fa2-b88b-8142b856cbe5,39d3140c-ed2f-3f77-9ef4-5e87503b5587,Grana Padano DOP,grattugiato q.b.
0a5ba9d6-f027-31c4-acb0-0ed50ff432b6,78784a80-f259-3437-8ee2-ea95d64d3a67,Biancostato di manzo,700 g
0a5ba9d6-f027-31c4-acb0-0ed50ff432b6,35d5bdea-979b-33ac-93a2-bf78d4704d68,Costine di maiale,320 g
0a5ba9d6-f027-31c4-acb0-0ed50ff432b6,e57cdd86-d130-333e-80df-a8f5d7cf7a2e,Salsiccia,di maiale 340 g
0a5ba9d6-f027-31c4-acb0-0ed50ff432b6,b1581cdd-0c4c-30c4-90f9-ad2a34b02dfb,Passata di pomodoro,1400 g
0a5ba9d6-f027-31c4-acb0-0ed50ff432b6,b9a33741-260e-3301-9fd9-3a5ba577708b,Cipolle dorate,300 g
0a5ba9d6-f027-31c4-acb0-0ed50ff432b6,13d4dcd6-ccff-3016-a8b7-fa7701f20815,Olio extravergine d'oliva,60 g
0a5ba9d6-f027-31c4-acb0-0ed50ff432b6,40a52889-0e53-3bad-a2ef-7eaf8cad99bb,Vino rosso,70 g
0a5ba9d6-f027-31c4-acb0-0ed50ff432b6,8bb9fb3e-c490-3ce9-baf4-94e986e1157f,Acqua,300 g
0a5ba9d6-f027-31c4-acb0-0ed50ff432b6,75f59929-ea73-3c12-9c6b-0b58747dee21,Sale fino,q.b.
a796196f-ff3a-3918-8e1e-f14043b673b2,9d86273c-49c7-3045-862e-e05cd7305c60,Burro,40 g
