recipe_id,title,description
8408b6dc-c934-301c-b868-ab10632c10b3,Roast beef in crosta di sale,"Per preparare il roast beef in crosta di sale iniziate lavando ed asciugando le erbe aromatiche . Procedete tritando finemente rosmarino, alloro e timo . Dopodiché tagliate il grasso in eccesso dalla carne di manzo . A seconda della carne scelta potrete legarlo per dargli una forma più compatta o lasciarlo come lo avete acquistato se il pezzo è già sufficientemente compatto.Massaggiate la carne con il trito di erbe aromatiche, strofinandole leggermente su tutta la superficie e facendo in modo che aderiscano bene su tutti i lati . Prendete ora una teglia da forno con i bordi alti e più larga rispetto al taglio della carne di  cm per lato: versatevi uno strato di sale di circa  cm sul fondo . Adagiate ora il roast beef sulla teglia e ricopritelo uniformemente con il sale , creando uno strato di circa  cm di sale per lato, una sorta di involucro. E’ fondamentale utilizzare il sale grosso, poiché quello fino in cottura verrebbe assorbito eccessivamente dalla carne.Inumidite con l'acqua la superficie della crosta di sale  in modo che questa si possa maggiormente indurire in cottura. Infine infornate in forno statico preriscaldato a °C per  minuti (sconsigliamo l’utilizzo del forno ventilato poiché asciugherebbe troppo la carne e questa in ultimo non risulterebbe succosa). Il forno non andrà aperto fino a cottura ultimata per evitare che la temperatura si abbassi impedendo una cottura ottimale. Trascorso il tempo, estraete la teglia dal forno e lasciate riposare  minuti a temperatura ambiente. Dopodiché aiutandovi con dei cucchiai o un coltello se la crosta è divenuta molto dura, rimuovete il sale grosso raschiandolo con delicatezza . Eliminate tutto il sale di copertura poco alla volta .Prendete poi il roast beef  e disponetelo su un tagliare, eliminando se necessario il sale grosso in eccesso. Quindi affettatelo delicatamente con un coltello dalla lama affilata o se preferite fettine più sottili con l’affettatrice : all'interno dovrà risultare rosea. Se preferite una carne non troppo cruda, prolungate di  minuti la cottura, sempre in base al peso della carne che scegliete. Ora il vostro roast beef in crosta di sale può essere impiattato e gustato !"
06a0f661-078a-30b1-a494-1dd8f60ee27f,Muffin alla banana e gocce di cioccolato (muffin del buonumore),"Per preparare i muffin alla banana iniziate a fondere il burro in un pentolino a fuoco bassissimo; quindi lasciatelo intiepidire e nel frattempo occupatevi di sbucciare le banane . Poi tagliatele a tocchetti , trasferitele all'interno di una ciotola capiente e iniziate a schiacciare la polpa con una forchetta .Quando avrete ottenuto una purea grossolana  aggiungete l'uovo  e il burro fuso ormai a temperatura ambiente .Versate anche il latte a temperatura ambiente  e mescolate con una frusta  fino ad ottenere un composto ben amalgamato .Setacciate poi all'interno del composto sia la farina  che il lievito  e mescolate con una frusta  fino ad ottenere un impasto omogeneo. Aggiungete poi lo zucchero , un pizzico di sale  e incorporateli continuando a mescolare con la frusta , ma senza lavorare troppo l'impasto altrimenti i muffin non risulteranno soffici.Tritate il cioccolato grossolanamente , aggiungetelo all'impasto  e mescolate per un'ultima volta per incorporarlo .Aiutandovi con uno spallinatore da gelato distribuite l'impasto in  pirottini da , cm di diametro disposti in una teglia da muffin (-); in alternativa potete utilizzare un cucchiaio o trasferire l'impasto in un sac-à-poche. Cuocete in forno statico preriscaldato a ° per  minuti; trascorso il tempo di cottura indicato verificate la cottura utilizzando uno stecchino; poi sfornate i vostri muffin alla banana con gocce di cioccolato . Lasciate intiepidire e gustate."
03aa8736-e59a-3675-bde0-62d3a66887e6,Cheesecake marmorizzata,"Per preparare la cheesecake marmorizzata iniziate predisponendo il fondo: mettete i biscotti secchi nel mixer , quindi sminuzzateli finemente. Ponete il burro a sciogliere in un pentolino; nel frattempo mettete i biscotti sminuzzati in una ciotola e aggiungete a poco a poco il burro sciolto  amalgamando per bene il tutto. Imburrate una tortiera, meglio se a cerchio apribile, del diametro di  cm; ritagliate un disco di carta forno dello stesso diametro del fondo della tortiera e due strisce della stessa altezza dei bordi, quindi foderate la tortiera stessa. Per ulteriori dettagli consultate la scheda foderare una tortiera con carta da forno della Scuola di cucina. Versate i biscotti sbriciolati nella tortiera ricoperta di carta forno e con l'aiuto di un cucchiaio compattate bene la base di biscotto . Fate raffreddare il composto in frigorifero per mezz’ora o in freezer per una decina di minuti.Ora dedicatevi al ripieno: preparate la crema chiara mettendo a mollo in acqua fredda  g di gelatina in fogli e lasciandola ammorbidire . Sbattete il formaggio fresco spalmabile con lo zucchero, la vaniglia  e  ml di panna , ottenendo un composto liscio e omogeneo. Scaldate due cucchiai di panna (fatelo al microonde per comodità) e sciogliete all'interno la gelatina precedentemente scolata e strizzata.Lasciate raffreddare il composto di panna e gelatina, poi unitelo al resto della crema , quindi tenete da parte. Preparate ora la crema al cioccolato: mettete il cioccolato fondente in una ciotola  e ponetela in un pentolino riempito per metà di acqua. Quindi accendete il fuoco e fate fondere il cioccolato a bagnomaria. In una ciotola a parte ponete il formaggio spalmabile e lo zucchero a velo e mescolate i due ingredienti con lo sbattitore elettrico. Quindi aggiungete il cioccolato fuso intiepidito e montate gli ingredienti .Quando avrete ottenuto un composto omogeneo , trasferitelo in una planetaria (o in una ciotola capiente per lavorarlo con uno sbattitore elettrico) e aggiungete un tuorlo d’uovo . Azionate le fruste per amalgamare il composto e infine unite la panna , nella quale avete precedentemente sciolto la gelatina, e mescolate per incorporare gli ingredienti.A questo punto potete iniziare a comporre la vostra cheesecake: versate le crema bianca  a cucchiaiate distanziate sulla base di biscotti ormai compattati, riempite i vuoti con la crema scura. Per ottenere l’effetto marmorizzato utilizzate una forchetta e facendo un movimento dal basso verso l'alto miscelate leggermente i  impasti . Ponete la cheesecake marmorizzata in frigorifero per almeno - ore prima di servirla ."
89812338-96d5-3ed2-a571-c9464c38e7eb,Patatine novelle al rosmarino,"Per preparare le patatine novelle al rosmarino sciacquate per bene le patate, scolatele e asciugatele con un panno . Mettetele in una ciotola. Eliminate l’anima dall’aglio  e poi tritatelo con agli aghi di rosmarino . Versate il trito di aromi sulle patate , salate  e pepate . Per ultimo un giro d'olio di oliva , mescolate accuratamente e trasferite su una leccarda . Cuocete in forno statico, già caldo a °, per - minuti; abbiate cura di dare una mescolata ogni - minuti. Le patatine novelle al rosmarino sono pronte ."
ab8e82e7-71fc-3dd0-b760-ae2385886cc8,Passato di verdure,"Per realizzare il passato di verdura preparate tutti gli ortaggi: sbucciate la cipolla rossa e tagliatela a pezzettoni, pelate le carote e tagliatele a rondelle spesse , sbucciate le patate e tagliate anch’esse a cubotti delle dimensioni delle carote .Tagliate via dagli spinaci la base del gambo  poi sciacquateli bene sotto l’acqua corrente , dopodiché asciugateli e tagliateli in  parti .Ora lavate e spuntate le zucchine, poi tagliatele a rondelle spesse come le carote . Con un pelapatate sfogliate la parte più esterna del gambo di sedano che è la più fibrosa , poi tagliatelo a pezzi grossolani Ora prendete il cipollotto: tagliate via la base e affettate anch’esso grossolanamente . Le verdure sono pronte per la cottura: in una pentola dal bordo alto scaldate l’olio di oliva, poi unite la cipolla, il cipollotto , la carota e il sedano  lasciate rosolare per - minutiUnite poi anche le patate , le zucchine  e coprite le verdure con metà dell’acqua . Cuocete a fuoco medio per  minuti.Trascorso questo tempo aggiungete anche gli spinaci , versate la restante acqua  e i piselli . Salate e proseguite la cottura per altri  minuti o fino a quando tutte le verdure non risulteranno morbide.A cottura ultimata, aggiustate di sale e pepe e frullate le verdure con un mixer ad immersione  ( potete utilizzare anche un passaverdure) fino ad ottenere una crema omogenea . Tenete in caldo il passato di verdura e preparate i crostini: tagliate a piccoli cubetti il pane ,adagiate i cubetti di pane su una leccarda rivestita con carta da forno, irrorate con l’olio di oliva il pane e tostateli sotto il grill del forno per  minuti, o fino a quando non saranno dorati in superficie . Servite il vostro passato di verdura accompagnato con i crostini di pane tostato  e spolverizzate con il Grana Padano grattugiato."
328a3027-7767-3fa2-b88b-8142b856cbe5,Pisarei e fasò,"Per preparare i pisarei e fasò iniziate dai fagioli borlotti, poneteli in un ampia ciotola colma d’acqua e lasciateli in ammollo per  ore o una notte, coperti con pellicola trasparente . Trascorso il tempo dell’ammollo scolateli e sciacquateli sotto l’acqua corrente, poi versateli in un tegame copriteli con l’acqua  e cuocete per  minuti ; questo tempo sarà sufficiente in quanto la cottura dei fagioli proseguirà poi con il sugo successivamente.Ora occupatevi dell’impasto dei pisarei: setacciate la farina in una ciotola , poi unite il pangrattato  e il sale .Versate a filo l’acqua tiepida  e impastate energicamente per amalgamare gli ingredienti , formate un panetto compatto e avvolgetelo nella pellicola trasparente . Fate riposare l’impasto in un luogo fresco per  ora (fuori da frigo andrà bene). Trascorso il tempo di riposo, riprendete l’impasto, dividetelo in piccole porzioni , da queste create dei filoncini del diametro di cm circa .Tagliate i filoncini di pasta a pezzetti grandi come un fagiolo . Con il pollice pressate ciascun gnocchetto per creare un incavo all’interno . I pisarei sono pronti ; potete distribuirli su un vassoio foderato con un panno da cucina pulito e asciutto, leggermente infarinato. Non c'è bisogno di coprirli, anche se si seccheranno non sarà un problema.Ora occupatevi del sugo: sbucciate e tritate finemente la cipolla , tritate anche il lardo . Poi in un tegame sciogliete il burro a fuoco dolce e fate rosolare la cipolla ,poi unite il lardo tritato , mescolate per insaporire e quando la cipolla sarà appassita, unite anche i fagioli cotti in precedenza e scolati accuratamente , copriteli con la passata di pomodoro  e proseguite la cottura del sugo per circa  minuti. Potete regolare di sale e aggiungere dell'acqua calda (o brodo vegetale) se necessario perche il sugo non si rapprenda troppo.Quando i fagioli saranno cotti, portate al bollore l'acqua in un tegame capiente, salate a piacere e immergete i pisarei  e cuoceteli pochi minuti il tempo necessario che riaffiorino in superficie ; poi scolateli con una schiumarola direttamente nel tegame con i fagioli , insaporite con il Grana padano grattugiato  e servite i pisarei e fasò ben caldi con qualche scaglia di Grana ancora a piacere !"
0a5ba9d6-f027-31c4-acb0-0ed50ff432b6,Ragù alla napoletana,"Per preparare il ragù alla napoletana cominciate pelando e tritando la cipolla . Poi sgrassate la carne eliminando con una lama affilata la parte grassa dal biancostato di manzo  e dividete in pezzi .In una casseruola molto capiente lasciate rosolare la cipolla, a fiamma bassa, insieme all’olio extravergine d’oliva per qualche minuto . Poi unite i pezzi di biancostato e le costine , le salsicce e lasciate sigillare tutti i lati per - minuti . Sfumate con il vino rosso  e, non appena l’alcol sarà completamente evaporato, versate la passata di pomodoro .Aggiungete anche l’acqua  ed un pizzico di sale. Cuocete a fuoco dolce, quasi sobbollente, per almeno  ore . Se l’acqua dovesse evaporare eccessivamente, potrete aggiungerne ancora al bisogno. Trascorso il tempo necessario, affinché la carne si ammorbidisca a sufficienza ed i sapori si siano ben amalgamati, verificate che il ragù napoletano sia salato al punto giusto e poi gustatelo ."
a796196f-ff3a-3918-8e1e-f14043b673b2,Treccia di pasta lievitata,"Per preparare la treccia di pasta lievitata come prima cosa fondete il burro e lasciatelo intiepidire. Poi fate intiepidire il latte quindi versatelo in una ciotolina dove avrete già sbriciolato il lievito di birra , unite lo zucchero  e mescolate il tutto fino a che non sarà sciolto .Versate la farina setacciata nella ciotola della planetaria, unite il composto di latte e lievito  ed aggiungete il burro fuso . Sbattete le due uova e unitele agli ingredienti nella planetaria assieme alla scorza grattugiata di mezzo limone , ai semi di una bacca di vaniglia  e al sale . Cominciate a lavorare gli ingredienti con il gancio fino ad ottenere un impasto liscio ed omogeneo. Dovrà risultare morbido ma ben incordato . Trasferite il composto sul piano di lavoro leggermente infarinato  e pirlatelo velocemente con le mani . Trasferite l’impasto in una ciotola  e coprite il tutto con la pellicola . Lasciate lievitare a circa ° per  min . Trascorso il tempo trasferite l’impasto sul piano di lavoro leggermente infarinato e dividete l’impasto in tre parti uguali da circa  g l’uno  . Formate dei filoni da  cm e realizzate una treccia. Per farlo sigillate insieme una dell'estremità dei  filoni  e iniziate ad intrecciarli . Una volta che la treccia sarà pronta fermate bene le estremità . Trasferite su una placca da forno rivestita di carta  e lasciate lievitare ancora per  min coperta con pellicola . Quando sarà ben lievitata eliminate delicatamente la pellicola .Spennellate la superficie con un uovo sbattuto  e decorate con la granella di zucchero . Cuocete in forno statico a ° per  min circa, ripiano medio. Dovrà risultare morbida ma ben cotta e dorata in superficie ."
10ce021c-b350-3811-8088-14c1df7c8583,Torrone dei morti,"Per preparare il torrone dei morti tritate  g di cioccolato fondente  per scioglierlo a bagnomaria : fate attenzione che l’acqua del pentolino che avete messo a scaldare non tocchi il fondo della bastardella su cui state facendo fondere il cioccolato. Continuate a mescolare per far sciogliere bene il cioccolato .Quindi versate il cioccolato fuso in uno stampo da plumcake svasato che misura alla base  x cm, in superficie x cm e con un' altezza di , cm : con un pennello da cucina stendete il cioccolato fuso su tutta la superficie dello stampo, per rivestirla interamente (-).Ponete in frigorifero, nella parte più fredda, a rassodare per almeno  minuti o fino a quando il cioccolato non sarà ben solido . Trascorso il tempo necessario fate sciogliere altri  g di cioccolato fondente a bagnomaria : versatelo poi nello stampo .Nuovamente con un pennello da cucina fate aderire il cioccolato fuso ai bordi dello stampo  in modo tale da creare un nuovo strato di cioccolato . Questa operazione è necessaria per fare in modo che i due strati di cioccolato si compattino meglio creando uno spessore maggiore che consentirà in seguito di staccare più agilmente il torrone dallo stampo. Riponete di nuovo in frigorifero a rassodare per almeno  minuti. Nel frattempo procedete con il ripieno: sminuzzate finemente il cioccolato bianco .Mettetelo a sciogliere a bagnomaria  (facendo sempre in modo che l'acqua non entri in contatto con il cioccolato da fondere), mescolando di tanto in tanto per favorire lo scioglimento del cioccolato . Versatelo in una ciotola capiente a cui unirete la crema spalmabile alle nocciole .Abbiate cura di mescolare gli ingredienti fino a che il cioccolato bianco è ancora caldo  e aggiungete in ultimo le nocciole intere sgusciate , amalgamando bene gli ingredienti. A questo punto il cioccolato nello stampo sarà ben solido: estraete lo stampo dal frigorifero e versate il composto appena ottenuto .Livellatelo nello stampo , aiutandovi con una spatola. Dopodiché riponete in frigorifero per almeno - ore, coprendo lo stampo con un foglio di carta di alluminio . Fate attenzione che il foglio di alluminio non tocchi il composto per evitare che in frigo si attacchi. Trascorso il tempo di raffreddamento del torrone, assicuratevi che sia ben soda la superficie e fate sciogliere a bagnomaria i restanti  g di cioccolato fondente, versateli sopra al torrone .Spennellate il cioccolato su tutta la superficie  e riponetelo in frigorifero per altri  minuti affinché si rassodi. Estraetelo poi dal frigorifero e incidete con un coltellino il cioccolato a filo del bordo dello stampo . Fate ora passare la lama del coltello tra il torrone e le pareti dello stampo  per staccarlo. Dovreste sentire una sorta di “schiocchio” ad indicare che il torrone si è staccato dallo stampo.Eliminate il cioccolato in avanzo (che potrete fondere nuovamente ed usare per altre preparazioni) e capovolgete lo stampo su un tagliere o un piatto da portata . Battete con mano ferma lo stampo in modo da sformare il torrone più agevolmente . Il vostro torrone dei morti è ora pronto per essere affettato e gustato !"
90111dd0-47f2-3ca6-880f-ae2f193b140a,Crostini rustici di polenta,"Per preparare i crostini rustici di polenta, in un tegame portate a ebollizione  litro d’acqua, salatela , aggiungete un cucchiaio d’olio e mescolate . Incorporate la polenta istantanea a pioggia .Mescolate bene con una frusta per evitare che si formino dei grumi , continuando fino a che la polenta non raggiungerà la consistenza desiderata . Versatela quindi in uno stampo da plumcake grande x cm leggermente oliato .Livellate la superficie  e lasciate rassodare la polenta per almeno un'ora a temperatura ambiente. Nel frattempo preparate ciò che servirà per condire i crostini. Aprite la salsiccia a metà tagliandola con un coltello . Versate un filo d'olio in una padella e scaldatela. Inserite all'interno le salsiccie .Giratele  e cuocetele sino a che non saranno ben dorate . Rosolate le foglie di cavolo nero con uno spicchio d'aglio, facendo in modo che resti croccante. Nella stessa padella cuocete poi anche i funghi tagliati in  con una noce di burro, uno spicchio d'aglio e del timo .Cuocete poi anche gli spinaci per - minuti, sempre spadellandoli con uno spicchio d'aglio . Sformate la polenta su un tagliere  e ricavate  fette grandi  cm .Spennellate le fette di polenta con dell'olio , se preferite potete rifilarle prima, e posizionateli su una griglia ben calda precedentemente unta . Lasciatele abrustolire, senza girarle per - minuti, sino a che non saranno ben dorate, poi giratele e fate abrustolire anche l'altro lato Ora potrete condire i crostini. Alcuni con pezzi di salsiccia, fiocchi di stracchino e pepe nero . Altri con gli spinaci , chicchi di melagrana e il roquefort sbriciolato .Per gli ultimi posizionate i funghi alla base , coprite con il cavolo nero, aggiungete la Toma a scaglie, usando un pelapatate)  e completate con le nocciole tostate. I crostini rustici di polenta sono pronti da servire ."
